time;sensor2_1;sensor2_2
06:00:00;14,2;14,3
06:15:00;14,0;15,0
06:30:00;14,8;15,3
06:45:00;15,6;15,2
07:00:00;15,7;15,6
07:15:00;14,6;15,3
07:30:00;15,6;15,6
07:45:00;15,4;15,5
08:00:00;15,9;16,2
08:15:00;15,9;16,9
08:30:00;16,1;15,9
08:45:00;17,3;16,2
09:00:00;17,7;17,8
09:15:00;17,5;17,3
09:30:00;18,2;18,6
09:45:00;19,0;19,4
10:00:00;18,8;18,9
10:15:00;19,2;19,2
10:30:00;20,0;21,0
10:45:00;22,2;21,9
11:00:00;20,9;23,2
11:15:00;23,7;22,8
11:30:00;23,0;24,5
11:45:00;25,3;23,7
12:00:00;23,1;24,8
12:15:00;24,8;25,1
12:30:00;23,6;24,1
12:45:00;23,7;24,4
13:00:00;24,0;23,3
13:15:00;23,2;22,5
13:30:00;22,9;24,3
13:45:00;22,2;22,2
14:00:00;22,1;24,1
14:15:00;21,9;22,3
14:30:00;22,3;22,2
14:45:00;21,5;22,3
15:00:00;22,2;22,8
15:15:00;21,7;21,7
15:30:00;21,7;21,9
15:45:00;21,6;22,6
16:00:00;20,7;20,6
16:15:00;20,8;20,5
16:30:00;20,7;20,4
16:45:00;20,3;21,4
17:00:00;20,3;21,8
17:15:00;19,6;21,3
17:30:00;19,7;19,7
17:45:00;19,4;21,1
18:00:00;19,1;19,7
18:15:00;19,2;19,9
18:30:00;19,2;19,7
18:45:00;20,3;19,0
19:00:00;20,1;19,9
19:15:00;18,9;19,2
