Order ID,Region,Country,Item Type,Order Date,Ship Date,Units Sold,Unit Price
686800706,Middle East and North Africa,Libya,Cosmetics,10/18/2014,10/31/2014,8446,437.2
185941302,North America,Canada,Vegetables,11/7/2011,12/8/2011,3018,154.06
246222341,Middle East and North Africa,Libya,Baby Food,10/31/2016,12/9/2016,1517,255.28
161442649,Asia,Japan,Cereal,4/10/2010,5/12/2010,3322,205.7
645713555,Sub-Saharan Africa,Chad,Fruits,8/16/2011,8/31/2011,9845,9.33
683458888,Europe,Armenia,Cereal,11/24/2014,12/28/2014,9528,205.7
679414975,Sub-Saharan Africa,Eritrea,Cereal,3/4/2015,4/17/2015,2844,205.7
208630645,Europe,Montenegro,Clothes,5/17/2012,6/28/2012,7299,109.28
266467225,Central America and the Caribbean,Jamaica,Vegetables,1/29/2015,3/7/2015,2428,154.06
118598544,Australia and Oceania,Fiji,Vegetables,12/24/2013,1/19/2014,4800,154.06
451010930,Sub-Saharan Africa,Togo,Clothes,12/29/2015,1/19/2016,3012,109.28
220003211,Europe,Montenegro,Snacks,2/27/2010,3/18/2010,2694,152.58
702186715,Europe,Greece,Household,11/17/2016,12/22/2016,1508,668.27
544485270,Sub-Saharan Africa,Sudan,Cosmetics,12/20/2015,1/5/2016,4146,437.2
714135205,Asia,Maldives,Fruits,1/8/2011,2/6/2011,7332,9.33
448685348,Europe,Montenegro,Clothes,6/28/2010,7/22/2010,4820,109.28
405997025,Europe,Estonia,Office Supplies,4/25/2016,5/12/2016,2397,651.21
414244067,North America,Greenland,Beverages,7/27/2012,8/7/2012,2880,47.45
821912801,Sub-Saharan Africa,Cape Verde,Clothes,9/8/2014,10/3/2014,1117,109.28
247802054,Sub-Saharan Africa,Senegal,Household,8/27/2012,9/8/2012,8989,668.27
531023156,Australia and Oceania,Federated States of Micronesia,Snacks,9/3/2012,10/15/2012,407,152.58
880999934,Europe,Bulgaria,Clothes,8/27/2010,9/16/2010,6313,109.28
127468717,Middle East and North Africa,Algeria,Personal Care,2/20/2011,3/9/2011,9681,81.73
770478332,Asia,Mongolia,Clothes,12/12/2015,1/24/2016,515,109.28
430390107,Central America and the Caribbean,Grenada,Cereal,10/28/2012,11/13/2012,852,205.7
397877871,Central America and the Caribbean,Grenada,Beverages,1/30/2017,3/20/2017,9759,47.45
683927953,Sub-Saharan Africa,Senegal,Beverages,10/22/2014,11/4/2014,8334,47.45
469839179,North America,Greenland,Fruits,1/31/2012,2/22/2012,4709,9.33
357222878,Sub-Saharan Africa,Chad,Meat,1/20/2016,3/9/2016,9043,421.89
118002879,Sub-Saharan Africa,Mauritius ,Personal Care,1/1/2016,1/7/2016,8529,81.73
944415509,Middle East and North Africa,Morocco,Beverages,6/1/2017,6/23/2017,2391,47.45
499009597,Central America and the Caribbean,Honduras,Office Supplies,6/30/2015,7/9/2015,6884,651.21
564646470,Sub-Saharan Africa,Benin,Fruits,1/28/2014,3/16/2014,293,9.33
294499957,Europe,Greece,Baby Food,4/8/2014,4/8/2014,7937,255.28
262056386,Central America and the Caribbean,Jamaica,Beverages,9/4/2010,10/24/2010,7163,47.45
211114585,Sub-Saharan Africa,Equatorial Guinea,Office Supplies,5/2/2010,5/14/2010,2352,651.21
405785882,Sub-Saharan Africa,Swaziland,Office Supplies,10/3/2013,10/22/2013,9915,651.21
280494105,Central America and the Caribbean,Trinidad and Tobago,Vegetables,3/6/2011,4/14/2011,3294,154.06
689975583,Europe,Sweden,Baby Food,8/7/2016,8/12/2016,7963,255.28
759279143,Europe,Belarus,Office Supplies,1/11/2011,2/18/2011,6426,651.21
133766114,Sub-Saharan Africa,Guinea-Bissau,Office Supplies,5/21/2014,6/12/2014,3221,651.21
329110324,Asia,Mongolia,Beverages,8/3/2013,9/2/2013,9913,47.45
681298100,Middle East and North Africa,Turkey,Meat,10/5/2011,11/20/2011,103,421.89
596628272,Sub-Saharan Africa,Central African Republic,Snacks,11/15/2016,12/30/2016,4419,152.58
901712167,Sub-Saharan Africa,Equatorial Guinea,Office Supplies,4/3/2015,4/17/2015,5523,651.21
693473613,Asia,Laos,Beverages,3/22/2013,4/21/2013,3107,47.45
489148938,Europe,Armenia,Meat,8/2/2010,9/1/2010,8896,421.89
876286971,Europe,Greece,Household,1/5/2012,2/15/2012,1643,668.27
262749040,Middle East and North Africa,Israel,Personal Care,8/26/2015,8/30/2015,2135,81.73
726708972,Asia,Bhutan,Meat,12/9/2016,1/26/2017,8189,421.89
366653096,Australia and Oceania,Vanuatu,Vegetables,5/17/2012,5/31/2012,9654,154.06
951380240,Sub-Saharan Africa,Burundi,Vegetables,11/17/2010,12/20/2010,3410,154.06
270001733,Europe,Ukraine,Cosmetics,11/13/2014,1/1/2015,8368,437.2
681941401,Europe,Croatia,Beverages,6/16/2016,7/28/2016,470,47.45
566935575,Sub-Saharan Africa,Madagascar,Fruits,5/31/2016,6/7/2016,7690,9.33
175033080,Asia,Malaysia,Snacks,10/6/2012,11/5/2012,5033,152.58
276595246,Asia,Uzbekistan,Office Supplies,3/10/2012,3/15/2012,9535,651.21
812295901,Europe,Italy,Office Supplies,1/26/2011,2/13/2011,5263,651.21
